Cnstit,A,A_ci,g,g_ci
SA,230.,0.670,356.,0.167
SSA,51.0,0.670,141.,0.752
MSM,4.89,0.670,338.,7.86
MM,7.69,0.670,10.8,4.99
MSF,6.74,0.670,132.,5.69
MF,5.18,0.670,56.5,7.42
ALP1,0.790,0.650,210.,47.1
2Q1,2.12,0.641,172.,17.3
SIG1,2.93,0.655,213.,12.8
Q1,21.8,0.652,174.,1.71
RHO1,4.24,0.656,173.,8.87
O1,131.,0.656,191.,0.288
TAU1,8.75,0.656,281.,4.30
BET1,2.65,0.650,168.,14.1
NO1,7.24,0.524,227.,4.15
CHI1,2.42,0.652,209.,15.4
PI1,2.61,0.670,204.,14.7
P1,69.8,0.670,236.,0.550
S1,13.8,0.960,121.,3.98
K1,248.,0.662,234.,0.153
PSI1,6.15,0.670,11.1,6.24
PHI1,10.3,0.678,199.,3.77
THE1,2.67,0.655,278.,14.1
J1,13.2,0.629,293.,2.73
SO1,12.6,0.656,52.4,2.97
OO1,14.6,0.546,260.,2.15
UPS1,2.52,0.548,290.,12.5
OQ2,0.582,0.671,308.,66.0
EPS2,1.97,0.671,308.,19.5
2N2,5.07,0.671,346.,7.58
MU2,10.1,0.671,337.,3.79
N2,35.8,0.670,9.58,1.07
NU2,5.46,0.670,15.1,7.04
GAM2,0.753,0.664,47.1,50.6
H1,7.57,0.672,82.0,5.08
M2,163.,0.670,23.4,0.236
H2,2.53,0.671,279.,15.2
MKS2,5.08,0.643,26.3,7.25
LDA2,1.50,0.670,352.,25.6
L2,3.46,0.647,354.,10.7
T2,2.26,0.670,15.1,17.0
S2,78.3,0.670,54.3,0.491
R2,1.06,0.543,228.,29.3
K2,20.9,0.637,41.9,1.75
MSN2,1.65,0.670,192.,23.2
ETA2,1.15,0.607,63.9,30.2
MO3,10.5,0.661,215.,3.59
M3,1.80,0.670,62.3,21.3
SO3,9.21,0.656,251.,4.08
MK3,11.9,0.665,266.,3.20
SK3,4.99,0.662,308.,7.60
MN4,3.62,0.670,44.1,10.6
M4,8.28,0.670,68.6,4.64
SN4,1.05,0.670,57.6,36.5
MS4,5.25,0.670,87.8,7.32
MK4,1.14,0.644,341.,32.4
S4,1.41,0.670,120.,27.2
SK4,0.415,0.637,347.,88.0
2MK5,6.46,0.668,323.,5.92
2SK5,0.336,0.662,112.,113.
2MN6,1.48,0.668,43.6,25.9
M6,3.11,0.668,72.5,12.3
2MS6,3.64,0.670,125.,10.5
2MK6,1.40,0.650,94.8,26.5
2SM6,1.08,0.670,169.,35.7
MSK6,0.957,0.643,128.,38.5
3MK7,0.176,0.669,342.,217.
M8,0.490,0.665,131.,77.7
